"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"60131554106","Catalpa International Ltd","Large",2019,2022,-3,FALSE,0,2019103,0
"60382871618","The Naracoorte District Mens Shed Incorporated","Small",2019,2021,-2,FALSE,1565,18716,0.0836182945073734
"60623295483","A B Paterson College Foundation Ltd","Small",2019,2020,-1,FALSE,99694,99764,0.999298344092057
"60630551889","REDFERN YOUTH CONNECT (AUSTRALIA) LIMITED","Medium",2019,2020,-1,TRUE,1000,137000,0.0072992700729927
"60751862177","Samford Area Men's Shed","Small",2019,2021,-2,FALSE,6807,91396,0.0744780953214583
"61005641225","The School Of Total Education","Medium",2019,2022,-3,FALSE,40000,2375250,0.0168403325965688
"61147546405","Jabree Ltd","Small",2019,2021,-2,FALSE,0,711580,0
"61268362646","Returned and Services League of Australia A.C.T. Branch Incorporated","Small",2019,2020,-1,FALSE,24550,161791,0.151738971883479
"61831960079","Auscharity Inc.","Small",2019,2020,-1,FALSE,1565,2460,0.636178861788618
"62005274742","Sail & Adventure Limited","Small",2019,2020,-1,FALSE,42566,90470,0.470498507792638
"62130436752","Yatra Foundation Australia","Small",2019,2022,-3,FALSE,177707,180377,0.985197669325912
"62137118647","Rockhampton Men's Shed Inc","Small",2019,2021,-2,FALSE,4506,39044,0.115408257350681
"62198192130","Kuranda Information And Support Centre Association Inc","Small",2019,2021,-2,FALSE,1912,368328,0.00519102539041289
"62238200670","Future Connect Incorporated","Medium",2019,2022,-3,FALSE,0,485795,0
"62404700128","Newcastle Mens Shed","Small",2019,2021,-2,FALSE,36756,155291,0.236691115389817
"62616284505","Gamal Ministries Ltd","Small",2019,2022,-3,FALSE,2791,2791,1
"62626387273","'TIL THE COWS COME HOME LTD","Medium",2019,2023,-4,FALSE,60,1178,0.0509337860780985
"62801175580","Coolum Men's Shed Inc","Small",2019,2021,-2,FALSE,31236,159297,0.19608655530236
"63105164152","Cessnock Family Support Service Inc","Small",2019,2021,-2,FALSE,140,291625,0.000480068581225889
